noise_level_db,light_exposure_lux,temperature_c,crowding_index,meeting_hours,remote_work_pct,green_space_score,break_area_score,team_seniority,project_complexity,deadline_pressure,team_size,manager_support_score,training_hours,productivity_score
66.97133992289419,217.50752865586685,21.30035182042943,3.008896643339405,18.41178035410031,67.66994874229113,9.029616109343609,1.7824494936647453,14,1.2860441153360522,1.843257158754332,10,5.548197592930261,1.061438787354545,50.82421901495468
62.24707403016083,354.30843542848766,25.071188206510904,8.28487411010044,0.16246899195152542,80.58192518328079,7.283254554894041,4.062254648661927,5,2.937823858968299,7.871447161058716,6,1.834712590421331,3.8686550733385605,48.375368649318055
77.37471831737298,622.6082219568237,27.685539279292563,7.567586080244361,13.405702286367518,97.31157639793706,4.406809394875181,5.968365681459043,20,8.969065731431261,4.254715235502789,9,7.341146525934311,1.8329753462264886,46.6492013177562
38.98959884618137,362.9536204527211,19.21201715291675,3.501762427990829,15.892111106610004,36.48321789700842,4.331628704051944,2.8855632769433894,9,7.316382821126962,7.151928989830005,5,6.482179051002894,6.8455459279238795,51.500449597318095
71.45633989751747,314.38174563334985,22.553465301091773,9.905710155729357,15.999993996352321,55.694974377464625,7.161528258908872,8.585667281708286,2,3.0614326476769396,1.2889021951363397,13,4.61048308320096,2.6475442084618894,51.59305750678284
70.8957135359488,348.83858083789846,23.990775113907326,8.962148384980322,16.071296755010607,14.287159044206266,2.256672875729557,7.704900838824459,18,3.3646744767064174,6.261273912011864,21,4.594604546263575,8.772830366291334,37.588335853791264
84.87688032475552,556.6684055735252,19.090912946085528,1.4240473788226111,2.741228258766479,62.744604170309,8.128714279266678,4.799439701197157,3,4.4629058050705,6.362995855250153,17,5.762029105892233,38.84313510454473,55.9227258633719
71.03609096800973,677.1972583186023,24.44364396490554,3.401426709572885,16.0240449644952,11.155217359587644,4.9128872560219445,5.083513356962858,9,9.746992889831029,7.857659791468581,19,9.213650554103385,34.82074279347068,52.68076676276682
49.92223957243164,647.2646464062036,25.30764253725807,2.375553416946713,19.062770001878782,53.937903011962575,8.007638307675023,5.7731830497565975,1,6.390501260142061,5.397451372260531,6,9.361887546381555,35.14887511292737,64.62311255873354
37.89625832470938,814.6067194428284,29.36339334357593,1.770881068610909,12.149761582915344,6.921251846838361,7.845419487315084,7.89250986376289,5,6.937757404726307,9.521638117344917,8,3.385509660460532,34.897321643410294,54.61234385930932
56.15689701004435,348.2587438094574,24.4715530653535,7.5693796218097855,5.028776584742397,31.171629130089496,9.956344209948051,6.848902518755081,15,9.096526761786508,5.063375272520168,10,3.022276033284016,13.523422485898212,43.587749366901846
